web-scraper-order;web-scraper-start-url;articles_links;articles_links-href;type_chaussure;prix;adress;url_image
1751405370-1;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016;Chaussures Enfants;Prix sur demande;Gu�diawaye, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/750016_uploaded_image1_1563279645.35.png""); width: 393px;"
1751405373-2;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750022;Chaussures Enfants;Prix sur demande;Gu�diawaye, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/750022_uploaded_image1_1563279678.59.png""); width: 393px;"
1751405378-3;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Claquettes  enfants;https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-enfants-781661;Chaussures Enfants;Prix sur demande;S�n�gal;"background-image: url(""https://images.coinafrique.com/781661_uploaded_image1_1564075024.17.png""); width: 404px;"
1751405382-4;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792038;Chaussures Enfants;Prix sur demande;Point E, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/792038_uploaded_image1_1564402766.76.png""); width: 436px;"
1751405386-5;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792041;Chaussures Enfants;Prix sur demande;Point E, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/792041_uploaded_image1_1564402795.9.png""); width: 436px;"
1751405389-6;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792044;Chaussures Enfants;Prix sur demande;Point E, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/792044_uploaded_image1_1564402826.19.png""); width: 436px;"
1751405392-7;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792099;Chaussures Enfants;Prix sur demande;Point E, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/792099_uploaded_image1_1564403460.51.png""); width: 436px;"
1751405396-8;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-792468;Chaussures Enfants;4 000 CFA;S�n�gal;"background-image: url(""https://images.coinafrique.com/792468_uploaded_image1_1564410485.85.png""); width: 516px;"
1751405399-9;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-796879;Chaussures Enfants;Prix sur demande;Fann, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/796879_uploaded_image1_1564515493.31.png""); width: 436px;"
1751405403-10;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfants;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796881;Chaussures Enfants;Prix sur demande;Fann, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/796881_uploaded_image1_1564515527.51.png""); width: 436px;"
1751405407-11;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfants;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-796883;Chaussures Enfants;Prix sur demande;Fann, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/796883_uploaded_image1_1564515565.66.png""); width: 436px;"
1751405413-12;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures mocassins enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-mocassins-enfant-797188;Chaussures Enfants;Prix sur demande;Les Parcelles Assainies, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/797188_uploaded_image2_1564528106.27.png""); width: 404px;"
1751405417-13;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-799181;Chaussures Enfants;Prix sur demande;Petit-Mbao, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/799181_uploaded_image1_1564584908.27.png""); width: 407px;"
1751405420-14;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-799556;Chaussures Enfants;Prix sur demande;Biscuiterie, Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/799556_uploaded_image1_1564591363.49.png""); width: 386px;"
1751405429-15;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Talons fillette;https://sn.coinafrique.com/annonce/chaussures-enfants/talons-fillette-801320;Chaussures Enfants;Prix sur demande;S�n�gal;"background-image: url(""https://images.coinafrique.com/801320_uploaded_image2_1564654471.5.png""); width: 404px;"
1751405432-16;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures talons fillette;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-talons-fillette-801329;Chaussures Enfants;Prix sur demande;S�n�gal;"background-image: url(""https://images.coinafrique.com/801329_uploaded_image1_1564654543.94.png""); width: 404px;"
1751405435-17;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Talons ras�s;https://sn.coinafrique.com/annonce/chaussures-enfants/talons-rases-801336;Chaussures Enfants;Prix sur demande;S�n�gal;"background-image: url(""https://images.coinafrique.com/801336_uploaded_image1_1564654599.57.png""); width: 404px;"
1751405439-18;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfants;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-811210;Chaussures Enfants;Prix sur demande;Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/811210_uploaded_image1_1564948595.79.png""); width: 402px;"
1751405456-19;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813196;Chaussures Enfants;Prix sur demande;Dakar, S�n�gal;
1751405460-20;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813203;Chaussures Enfants;Prix sur demande;Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/813203_uploaded_image1_1565011424.68.png""); width: 402px;"
1751405464-21;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813206;Chaussures Enfants;Prix sur demande;Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/813206_uploaded_image1_1565011464.28.png""); width: 402px;"
1751405468-22;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813210;Chaussures Enfants;Prix sur demande;Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/813210_uploaded_image1_1565011527.31.png""); width: 402px;"
1751405472-23;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813213;Chaussures Enfants;Prix sur demande;Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/813213_uploaded_image1_1565011607.36.png""); width: 402px;"
1751405476-24;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813222;Chaussures Enfants;Prix sur demande;Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/813222_uploaded_image1_1565011799.02.png""); width: 402px;"
1751405481-25;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813226;Chaussures Enfants;Prix sur demande;Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/813226_uploaded_image1_1565011851.3.png""); width: 402px;"
1751405485-26;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813228;Chaussures Enfants;Prix sur demande;Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/813228_uploaded_image1_1565011936.11.png""); width: 402px;"
1751405489-27;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813230;Chaussures Enfants;Prix sur demande;Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/813230_uploaded_image1_1565011989.51.png""); width: 402px;"
1751405493-28;https://sn.coinafrique.com/categorie/chaussures-enfants?page=8;Chaussures enfant;https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-813239;Chaussures Enfants;Prix sur demande;Dakar, S�n�gal;"background-image: url(""https://images.coinafrique.com/813239_uploaded_image1_1565012155.7.png""); width: 402px;"
