web-scraper-order;web-scraper-start-url;articles_links;articles_links-href;type_chaussure;prix;adress;url_image
1751405164-1;https://sn.coinafrique.com/categorie/chaussures-homme?page=15;Chaussures homme;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4742155;Chaussures Homme;18 000 CFA;Fann, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4742155_uploaded_image1_1715654038.jpg""); width: 449px;"
1751405167-2;https://sn.coinafrique.com/categorie/chaussures-homme?page=15;Chaussures Air Jordan 5;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-air-jordan-5-4742680;Chaussures Homme;40 000 CFA;Sicap Liberté, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4742680_uploaded_image1_1715684904.jpg""); width: 537px;"
1751405170-3;https://sn.coinafrique.com/categorie/chaussures-homme?page=15;Chaussures Balanciaga;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-balanciaga-4744997;Chaussures Homme;Prix sur demande;Keur Massar, Sénégal;"background-image: url(""https://images.coinafrique.com/4744997_uploaded_image1_1715780059.jpg""); width: 576px;"
1751405172-4;https://sn.coinafrique.com/categorie/chaussures-homme?page=15;Sandales homme;https://sn.coinafrique.com/annonce/chaussures-homme/sandales-homme-4746256;Chaussures Homme;10 000 CFA;Yoff, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4746256_uploaded_image1_1715848381.jpg""); width: 527px;"
1751405176-5;https://sn.coinafrique.com/categorie/chaussures-homme?page=15;Chaussures  homme;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4700245;Chaussures Homme;15 000 CFA;Parcelle Assainies, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4700245_uploaded_image1_1713526616.43.jpeg""); width: 389px;"
1751405180-6;https://sn.coinafrique.com/categorie/chaussures-homme?page=15;Chaussures homme;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4700249;Chaussures Homme;15 000 CFA;Parcelle Assainies, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4700249_uploaded_image1_1713526727.95.jpeg""); width: 389px;"
1751405183-7;https://sn.coinafrique.com/categorie/chaussures-homme?page=15;Chaussures  homme;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4700253;Chaussures Homme;15 000 CFA;Parcelle Assainies, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4700253_uploaded_image1_1713526810.1.jpeg""); width: 389px;"
1751405185-8;https://sn.coinafrique.com/categorie/chaussures-homme?page=15;Chaussures homme;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4700261;Chaussures Homme;15 000 CFA;Parcelle Assainies, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4700261_uploaded_image1_1713527032.32.jpeg""); width: 389px;"
1751405189-9;https://sn.coinafrique.com/categorie/chaussures-homme?page=15;Chaussures homme;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4700257;Chaussures Homme;15 000 CFA;Sicap Liberté, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4700257_uploaded_image1_1713526929.82.jpeg""); width: 389px;"
1751405194-10;https://sn.coinafrique.com/categorie/chaussures-homme?page=15;Chaussures homme;https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4700286;Chaussures Homme;15 000 CFA;Parcelle Assainies, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4700286_uploaded_image1_1713527720.27.jpeg""); width: 389px;"
1751405198-11;https://sn.coinafrique.com/categorie/chaussures-homme?page=15;Sandales orthopédique Birkenstock;https://sn.coinafrique.com/annonce/chaussures-homme/sandales-orthopedique-birkenstock-4699389;Chaussures Homme;11 000 CFA;Grand Yoff, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4699389_uploaded_image1_1713473053.jpg""); width: 484px;"
