web-scraper-order;web-scraper-start-url;articles_links;articles_links-href;type_habit;prix;adress;url_image
1751481935-1;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Vêtements Enfants;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2431713;Vêtements Enfants;4 500 CFA;Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2431713_uploaded_image1_1594596099.jpg""); width: 399px;"
1751481938-2;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Caleçon enfant;https://sn.coinafrique.com/annonce/vetements-enfants/calecon-enfant-2433719;Vêtements Enfants;1 000 CFA;Fass, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2433719_uploaded_image1_1594643418.jpg""); width: 528px;"
1751481940-3;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Djellaba enfant;https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfant-2433735;Vêtements Enfants;10 000 CFA;Biscuiterie, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2433735_uploaded_image1_1594643576.jpg""); width: 532px;"
1751481943-4;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Caleçon enfant;https://sn.coinafrique.com/annonce/vetements-enfants/calecon-enfant-2434001;Vêtements Enfants;1 000 CFA;Fass, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2434001_uploaded_image1_1594646583.jpg""); width: 528px;"
1751481946-5;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Robes enfants;https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfants-2435165;Vêtements Enfants;2 000 CFA;Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2435165_uploaded_image1_1594664501.jpg""); width: 391px;"
1751481949-6;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Robes enfants;https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfants-2435299;Vêtements Enfants;2 000 CFA;Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2435299_uploaded_image1_1594666625.jpg""); width: 392px;"
1751481952-7;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Vêtements  enfants;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2435562;Vêtements Enfants;3 000 CFA;Ouakam, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2435562_uploaded_image1_1594671660.jpg""); width: 418px;"
1751481955-8;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Vêtements enfants;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2436059;Vêtements Enfants;4 500 CFA;Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2436059_uploaded_image1_1594683237.jpg""); width: 399px;"
1751481959-9;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Vêtements enfants;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2436060;Vêtements Enfants;4 500 CFA;Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2436060_uploaded_image1_1594683263.jpg""); width: 399px;"
1751481962-10;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Vêtements enfants;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2436061;Vêtements Enfants;4 500 CFA;Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2436061_uploaded_image1_1594683292.jpg""); width: 399px;"
1751481965-11;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Vêtements enfants;https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2436063;Vêtements Enfants;4 500 CFA;Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2436063_uploaded_image1_1594683324.jpg""); width: 399px;"
1751481969-12;https://sn.coinafrique.com/categorie/vetements-enfants?page=13;Robes enfant;https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfant-2436367;Vêtements Enfants;8 000 CFA;Dakar Plateau, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/2436367_uploaded_image1_1594691952.jpg""); width: 608px;"
