web-scraper-order;web-scraper-start-url;articles_links;articles_links-href;type_habit;prix;adress;url_image
1751405512-1;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Lacoste Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/lacoste-senegal-4539306;Vêtements Homme;8 000 CFA;Colobane, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4539306_uploaded_image2_1704968818.jpeg""); width: 484px;"
1751405517-2;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Polo;https://sn.coinafrique.com/annonce/vetements-homme/polo-4582763;Vêtements Homme;6 000 CFA;Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4582763_uploaded_image1_1707307368.jpg""); width: 424px;"
1751405521-3;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Short;https://sn.coinafrique.com/annonce/vetements-homme/short-4582767;Vêtements Homme;5 000 CFA;Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4582767_uploaded_image1_1707307440.jpg""); width: 424px;"
1751405525-4;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Jalabé;https://sn.coinafrique.com/annonce/vetements-homme/jalabe-4582773;Vêtements Homme;10 000 CFA;Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4582773_uploaded_image1_1707307623.jpg""); width: 424px;"
1751405533-5;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Ensemble homme Turquie;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-turquie-4540561;Vêtements Homme;15 000 CFA;Colobane, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4540561_uploaded_image2_1705005679.jpeg""); width: 465px;"
1751405581-6;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Ensemble Synaworld;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-synaworld-4584832;Vêtements Homme;40 000 CFA;Grand Dakar, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4584832_uploaded_image1_1707406205.jpg""); width: 373px;"
1751405587-7;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Jalaba;https://sn.coinafrique.com/annonce/vetements-homme/jalaba-4585573;Vêtements Homme;10 000 CFA;Sacré-Coeur, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4585573_uploaded_image2_1707443435.jpeg""); width: 373px;"
1751405594-8;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Ensemble chemise kaki;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-chemise-kaki-4586308;Vêtements Homme;11 000 CFA;Dakar Plateau, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4586308_uploaded_image2_1707487576.jpeg""); width: 584px;"
1751405598-9;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Chemise homme;https://sn.coinafrique.com/annonce/vetements-homme/chemise-homme-4586346;Vêtements Homme;7 000 CFA;Dakar Plateau, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4586346_uploaded_image3_1707489184.jpeg""); width: 584px;"
1751405603-10;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Costume africain;https://sn.coinafrique.com/annonce/vetements-homme/costume-africain-4588142;Vêtements Homme;Prix sur demande;Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4588142_uploaded_image1_1707596402.jpg""); width: 427px;"
1751405628-11;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Ensemble blousons Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-blousons-senegal-4547466;Vêtements Homme;Prix sur demande;Fass, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4547466_uploaded_image2_1705394139.jpeg""); width: 671px;"
1751405636-12;https://sn.coinafrique.com/categorie/vetements-homme?page=15;T-shirt;https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-4590074;Vêtements Homme;10 000 CFA;Parcelle Assainies, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4590074_uploaded_image2_1707743401.jpeg""); width: 373px;"
1751405650-13;https://sn.coinafrique.com/categorie/vetements-homme?page=15;Pantalon Kaki;https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4590084;Vêtements Homme;8 000 CFA;Parcelle Assainies, Dakar, Sénégal;"background-image: url(""https://images.coinafrique.com/4590084_uploaded_image1_1707743677.jpg""); width: 373px;"
